Key;day_full;day;month_full;month_nr;month_short;month_name;is_holiday;event;Quarter_full;Quarter;Semester_full;Semester;year;lixo
1;01-01-2002;1;Jan-02;1;JAN;January;Sim;Ano Novo;2002-Q1;1;2002-S1;1;2002;--
2;02-01-2002;2;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
3;03-01-2002;3;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
4;04-01-2002;4;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
5;05-01-2002;5;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
6;06-01-2002;6;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
7;07-01-2002;7;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
8;08-01-2002;8;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
9;09-01-2002;9;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
10;10-01-2002;10;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
11;11-01-2002;11;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
12;12-01-2002;12;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
13;13-01-2002;13;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
14;14-01-2002;14;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
15;15-01-2002;15;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
16;16-01-2002;16;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
17;17-01-2002;17;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
18;18-01-2002;18;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
19;19-01-2002;19;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
20;20-01-2002;20;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
21;21-01-2002;21;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
22;22-01-2002;22;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
23;23-01-2002;23;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
24;24-01-2002;24;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
25;25-01-2002;25;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
26;26-01-2002;26;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
27;27-01-2002;27;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
28;28-01-2002;28;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
29;29-01-2002;29;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
30;30-01-2002;30;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
31;31-01-2002;31;Jan-02;1;JAN;January;No;;2002-Q1;1;2002-S1;1;2002;--
32;01-02-2002;1;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
33;02-02-2002;2;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
34;03-02-2002;3;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
35;04-02-2002;4;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
36;05-02-2002;5;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
37;06-02-2002;6;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
38;07-02-2002;7;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
39;08-02-2002;8;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
40;09-02-2002;9;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
41;10-02-2002;10;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
42;11-02-2002;11;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
43;12-02-2002;12;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
44;13-02-2002;13;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
45;14-02-2002;14;Fev-02;2;FEB;February;No;Dia dos namorados;2002-Q1;1;2002-S1;1;2002;--
46;15-02-2002;15;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
47;16-02-2002;16;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
48;17-02-2002;17;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
49;18-02-2002;18;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
50;19-02-2002;19;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
51;20-02-2002;20;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
52;21-02-2002;21;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
53;22-02-2002;22;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
54;23-02-2002;23;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
55;24-02-2002;24;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
