Key;time_full;hour;minute;second;minutes_after_00;period_of_day
1;5:00:00;5;0;0;300;Dawn
2;5:00:01;5;0;1;300;Dawn
3;5:00:02;5;0;2;300;Dawn
4;5:00:03;5;0;3;300;Dawn
5;5:00:04;5;0;4;300;Dawn
6;5:00:05;5;0;5;300;Dawn
7;5:00:06;5;0;6;300;Dawn
8;5:00:07;5;0;7;300;Dawn
9;5:00:08;5;0;8;300;Dawn
10;5:00:09;5;0;9;300;Dawn
11;5:00:10;5;0;10;300;Dawn
12;5:00:11;5;0;11;300;Dawn
13;5:00:12;5;0;12;300;Dawn
14;5:00:13;5;0;13;300;Dawn
15;5:00:14;5;0;14;300;Dawn
16;5:00:15;5;0;15;300;Dawn
17;5:00:16;5;0;16;300;Dawn
18;5:00:17;5;0;17;300;Dawn
19;5:00:18;5;0;18;300;Dawn
20;5:00:19;5;0;19;300;Dawn
21;5:00:20;5;0;20;300;Dawn
22;5:00:21;5;0;21;300;Dawn
23;5:00:22;5;0;22;300;Dawn
24;5:00:23;5;0;23;300;Dawn
25;5:00:24;5;0;24;300;Dawn
26;5:00:25;5;0;25;300;Dawn
27;5:00:26;5;0;26;300;Dawn
28;5:00:27;5;0;27;300;Dawn
29;5:00:28;5;0;28;300;Dawn
30;5:00:29;5;0;29;300;Dawn
31;5:00:30;5;0;30;300;Dawn
32;5:00:31;5;0;31;300;Dawn
33;5:00:32;5;0;32;300;Dawn
34;5:00:33;5;0;33;300;Dawn
35;5:00:34;5;0;34;300;Dawn
36;5:00:35;5;0;35;300;Dawn
37;5:00:36;5;0;36;300;Dawn
38;5:00:37;5;0;37;300;Dawn
39;5:00:38;5;0;38;300;Dawn
40;5:00:39;5;0;39;300;Dawn
41;5:00:40;5;0;40;300;Dawn
42;5:00:41;5;0;41;300;Dawn
43;5:00:42;5;0;42;300;Dawn
44;5:00:43;5;0;43;300;Dawn
45;5:00:44;5;0;44;300;Dawn
46;5:00:45;5;0;45;300;Dawn
47;5:00:46;5;0;46;300;Dawn
48;5:00:47;5;0;47;300;Dawn
49;5:00:48;5;0;48;300;Dawn
50;5:00:49;5;0;49;300;Dawn
51;5:00:50;5;0;50;300;Dawn
52;5:00:51;5;0;51;300;Dawn
53;5:00:52;5;0;52;300;Dawn
54;5:00:53;5;0;53;300;Dawn
55;5:00:54;5;0;54;300;Dawn
56;5:00:55;5;0;55;300;Dawn
57;5:00:56;5;0;56;300;Dawn
58;5:00:57;5;0;57;300;Dawn
59;5:00:58;5;0;58;300;Dawn
60;5:00:59;5;0;59;300;Dawn
61;5:01:00;5;1;0;301;Dawn
62;5:01:01;5;1;1;301;Dawn
63;5:01:02;5;1;2;301;Dawn
64;5:01:03;5;1;3;301;Dawn
65;5:01:04;5;1;4;301;Dawn
66;5:01:05;5;1;5;301;Dawn
67;5:01:06;5;1;6;301;Dawn
68;5:01:07;5;1;7;301;Dawn
69;5:01:08;5;1;8;301;Dawn
70;5:01:09;5;1;9;301;Dawn
71;5:01:10;5;1;10;301;Dawn
72;5:01:11;5;1;11;301;Dawn
73;5:01:12;5;1;12;301;Dawn
74;5:01:13;5;1;13;301;Dawn
75;5:01:14;5;1;14;301;Dawn
76;5:01:15;5;1;15;301;Dawn
77;5:01:16;5;1;16;301;Dawn
78;5:01:17;5;1;17;301;Dawn
79;5:01:18;5;1;18;301;Dawn
80;5:01:19;5;1;19;301;Dawn
81;5:01:20;5;1;20;301;Dawn
82;5:01:21;5;1;21;301;Dawn
83;5:01:22;5;1;22;301;Dawn
84;5:01:23;5;1;23;301;Dawn
85;5:01:24;5;1;24;301;Dawn
86;5:01:25;5;1;25;301;Dawn
87;5:01:26;5;1;26;301;Dawn
88;5:01:27;5;1;27;301;Dawn
89;5:01:28;5;1;28;301;Dawn
90;5:01:29;5;1;29;301;Dawn
91;5:01:30;5;1;30;301;Dawn
92;5:01:31;5;1;31;301;Dawn
93;5:01:32;5;1;32;301;Dawn
94;5:01:33;5;1;33;301;Dawn
95;5:01:34;5;1;34;301;Dawn
96;5:01:35;5;1;35;301;Dawn
97;5:01:36;5;1;36;301;Dawn
98;5:01:37;5;1;37;301;Dawn
99;5:01:38;5;1;38;301;Dawn
100;5:01:39;5;1;39;301;Dawn
101;5:01:40;5;1;40;301;Dawn
102;5:01:41;5;1;41;301;Dawn
103;5:01:42;5;1;42;301;Dawn
104;5:01:43;5;1;43;301;Dawn
105;5:01:44;5;1;44;301;Dawn
106;5:01:45;5;1;45;301;Dawn
107;5:01:46;5;1;46;301;Dawn
108;5:01:47;5;1;47;301;Dawn
109;5:01:48;5;1;48;301;Dawn
110;5:01:49;5;1;49;301;Dawn
111;5:01:50;5;1;50;301;Dawn
112;5:01:51;5;1;51;301;Dawn
113;5:01:52;5;1;52;301;Dawn
114;5:01:53;5;1;53;301;Dawn
115;5:01:54;5;1;54;301;Dawn
116;5:01:55;5;1;55;301;Dawn
117;5:01:56;5;1;56;301;Dawn
118;5:01:57;5;1;57;301;Dawn
119;5:01:58;5;1;58;301;Dawn
120;5:01:59;5;1;59;301;Dawn
121;5:02:00;5;2;0;302;Dawn
122;5:02:01;5;2;1;302;Dawn
123;5:02:02;5;2;2;302;Dawn
124;5:02:03;5;2;3;302;Dawn
125;5:02:04;5;2;4;302;Dawn
126;5:02:05;5;2;5;302;Dawn
127;5:02:06;5;2;6;302;Dawn
128;5:02:07;5;2;7;302;Dawn
129;5:02:08;5;2;8;302;Dawn
130;5:02:09;5;2;9;302;Dawn
131;5:02:10;5;2;10;302;Dawn
132;5:02:11;5;2;11;302;Dawn
133;5:02:12;5;2;12;302;Dawn
134;5:02:13;5;2;13;302;Dawn
135;5:02:14;5;2;14;302;Dawn
136;5:02:15;5;2;15;302;Dawn
137;5:02:16;5;2;16;302;Dawn
138;5:02:17;5;2;17;302;Dawn
139;5:02:18;5;2;18;302;Dawn
140;5:02:19;5;2;19;302;Dawn
141;5:02:20;5;2;20;302;Dawn
142;5:02:21;5;2;21;302;Dawn
143;5:02:22;5;2;22;302;Dawn
144;5:02:23;5;2;23;302;Dawn
145;5:02:24;5;2;24;302;Dawn
146;5:02:25;5;2;25;302;Dawn
147;5:02:26;5;2;26;302;Dawn
148;5:02:27;5;2;27;302;Dawn
149;5:02:28;5;2;28;302;Dawn
150;5:02:29;5;2;29;302;Dawn
151;5:02:30;5;2;30;302;Dawn
152;5:02:31;5;2;31;302;Dawn
153;5:02:32;5;2;32;302;Dawn
154;5:02:33;5;2;33;302;Dawn
155;5:02:34;5;2;34;302;Dawn
156;5:02:35;5;2;35;302;Dawn
157;5:02:36;5;2;36;302;Dawn
158;5:02:37;5;2;37;302;Dawn
159;5:02:38;5;2;38;302;Dawn
160;5:02:39;5;2;39;302;Dawn
161;5:02:40;5;2;40;302;Dawn
162;5:02:41;5;2;41;302;Dawn
163;5:02:42;5;2;42;302;Dawn
164;5:02:43;5;2;43;302;Dawn
165;5:02:44;5;2;44;302;Dawn
166;5:02:45;5;2;45;302;Dawn
167;5:02:46;5;2;46;302;Dawn
168;5:02:47;5;2;47;302;Dawn
169;5:02:48;5;2;48;302;Dawn
170;5:02:49;5;2;49;302;Dawn
171;5:02:50;5;2;50;302;Dawn
172;5:02:51;5;2;51;302;Dawn
173;5:02:52;5;2;52;302;Dawn
174;5:02:53;5;2;53;302;Dawn
175;5:02:54;5;2;54;302;Dawn
176;5:02:55;5;2;55;302;Dawn
